T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
98606,24489,4034,1945,7516,61068,1264,97069,24209,4404,2117,8753,58136,973,70215,20875,3119,1436,5837,38713,803,64995,19911,2642,1345,4673,35930,208,1152,4325,32957,208,32177,15999,10777,33584,17971,13793,29567,14215,13492,7282,24347,13202,3978,7137,3575,483,851
98484,64612,7518,6111,5218,14867,1190,98483,64705,8239,6698,5510,14035,1079,74731,51147,5147,4146,3708,9857,742,72861,51763,5344,3845,2483,8410,344,2906,1731,4986,344,41942,12218,24390,46790,16793,27836,44948,15587,27585,3487,17186,17377,6338,11729,4791,1086,1148
107090,69830,5241,2008,7549,22909,1396,106296,69143,6028,2014,9303,20627,1711,84503,58019,3508,1319,5407,15936,887,82153,58401,3912,930,4271,12971,513,490,3596,8096,513,54170,22763,24489,61912,31018,28660,58278,28042,27701,4523,20481,19474,6666,16419,6460,1378,907
107052,79079,6991,3634,5577,11112,1069,107098,78511,7372,4997,6248,10095,1687,80428,61892,4460,2354,3658,7186,631,80037,62742,4629,2825,2953,6064,226,2279,2109,3399,226,55928,16270,33409,62913,22622,38084,60423,21778,36489,2625,15647,17396,6238,17506,8417,2479,1253
107081,47417,10527,10722,17222,19378,6852,106776,45192,10744,12615,19507,18115,5672,82068,40444,7161,7310,11880,13262,4125,77165,39330,6795,6676,9994,10966,2284,5241,8894,7612,2284,43079,19335,18649,47500,25288,20413,42381,22176,18538,5503,19902,17519,6583,13795,4788,1087,693
107997,55281,10269,8559,14915,16901,5696,106996,57346,10942,7235,13641,15261,5870,83977,46713,6984,5652,10778,11800,3355,78521,48230,5566,4165,7712,9725,2402,3364,6792,6631,2402,46262,21267,19875,50938,27116,22155,47098,24812,20430,4146,18888,17558,5641,16251,7115,2178,989
107081,81050,5244,2475,3463,14052,1201,112988,85478,6074,2855,4483,13922,1590,78081,61490,3062,1448,2139,8983,641,82840,66937,3682,1398,1691,8228,309,1117,1174,4410,309,45050,8602,31798,53932,12970,39010,55482,13416,40223,4123,23675,18776,7913,10907,4499,898,578
100700,38664,3013,55967,1690,1767,126,101515,37819,2868,57790,2422,919,109,77537,32349,2106,40732,1318,1299,77,75480,29863,1467,42359,1283,781,25,41710,1135,84,25,42150,25666,15290,43504,27413,15539,40127,24241,15287,6690,20442,13285,6071,10853,4773,1259,468
100941,34041,3102,60600,1972,1720,153,99793,35614,3533,58492,1991,941,41,78098,29157,2213,44177,1489,1316,102,75785,29301,1916,42641,1209,514,29,42252,953,148,29,42203,27495,13171,42286,28451,13178,38125,24584,12866,8793,24022,14719,5500,11869,4458,1282,604
97799,67540,3857,18600,4899,2681,177,92544,61918,4009,20341,4474,1976,61,76433,54724,2614,13124,3563,2094,133,71196,51414,1909,14240,2470,1209,44,13712,2361,171,44,39991,9884,28752,42786,11961,30225,42233,11882,29818,8277,21752,14514,5343,10147,4319,901,650
