State,District,CD,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Margin_24,Swing,Lean,Minority,Density
AK,1,AK-1,244536,0.00029589,0.47174802,0.48749699,0.5502973,0.4497027,0.0182717,0.04248942,0.01037438,0.06675592,0.3175676,184493,-0.01574897,-0.06859266,-0.05284369,-0.05597810,White,1008
AK,2,AK-2,244178,-0.00116854,0.52225609,0.44418394,0.55830073,0.44169927,0.06969723,0.07856885,0.04058939,0.12779597,0.14238178,188128,0.07807215,0.07499339,-0.00307876,0.07101964,White,754250
AK,3,AK-3,244677,0.00087266,0.29969841,0.65850652,0.73889361,0.26110639,0.03959599,0.05965862,0.00900861,0.03886273,0.11226031,181382,-0.35880811,-0.37638724,-0.01757913,-0.37552753,White,5579
AL,1,AL-1,294592,-0.00322792,0.32132675,0.66407376,0.68258924,0.31741076,0.2243282,0.03264077,0.00134315,0.03057099,0.02729018,227078,-0.34274701,-0.35862644,-0.01587943,-0.35833330,White,1238008
AL,2,AL-2,295995,0.00151922,0.22760194,0.75962392,0.80160283,0.19839717,0.11193135,0.03851429,0.00112215,0.01119141,0.03190177,232589,-0.53202198,-0.57967903,-0.04765705,-0.56879335,White,343565
AL,3,AL-3,296142,0.00201661,0.25810821,0.73009107,0.6929129,0.3070871,0.22624391,0.04084074,0.00194293,0.01601495,0.02531916,229036,-0.47198286,-0.52783649,-0.05585363,-0.51421861,White,266910
AL,4,AL-4,295478,-0.00023008,0.62247471,0.36455007,0.40925655,0.59074345,0.51450037,0.03736508,0.00152158,0.02784226,0.01510338,231339,0.25792464,0.17489497,-0.08302967,0.19757153,Black,316541
AL,5,AL-5,296350,0.00272039,0.5584928,0.43293398,0.42060164,0.57939836,0.52046908,0.02171672,0.00108735,0.02772964,0.01285761,230836,0.12555882,0.10146993,-0.02408889,0.10449956,Black,135805
AL,6,AL-6,295964,0.00141433,0.63502394,0.35463648,0.40585088,0.59414912,0.52726308,0.03435802,0.00102751,0.01371433,0.02235904,235520,0.28038746,0.20560782,-0.07477964,0.22553437,Black,240237
AL,7,AL-7,295207,-0.00114703,0.32073077,0.66573806,0.67377819,0.32622181,0.24845996,0.03413273,0.00108481,0.02316842,0.02041335,232299,-0.34500729,-0.4008404,-0.05583311,-0.38722936,White,458697
AL,8,AL-8,295665,0.00040264,0.20641551,0.7812153,0.80182592,0.19817408,0.12223039,0.04045133,0.00100413,0.01121715,0.02326667,227063,-0.57479979,-0.60051191,-0.02571212,-0.59694120,White,308143
AL,9,AL-9,295923,0.00127561,0.2518125,0.73633256,0.75326601,0.24673399,0.17965714,0.03088406,0.0011483,0.01081456,0.0250783,233389,-0.48452006,-0.54351513,-0.05899507,-0.52885011,White,305608
AL,10,AL-10,295861,0.00106582,0.30825417,0.67649646,0.72111076,0.27888924,0.18297507,0.05043872,0.00113897,0.02198645,0.0222011,228277,-0.36824229,-0.38946687,-0.02122458,-0.38739201,White,800782
AL,11,AL-11,295026,-0.00175946,0.64234755,0.34219829,0.41095272,0.58904728,0.50636362,0.04295661,0.00084212,0.0283281,0.01471099,230372,0.30014926,0.26247926,-0.03767,0.27003593,Black,3811711
AL,12,AL-12,295389,-0.00053122,0.60315716,0.37839973,0.50149629,0.49850371,0.41193564,0.04960049,0.00132089,0.02258938,0.01617981,230905,0.22475743,0.20059911,-0.02415832,0.20365188,White,4328313
AL,13,AL-13,295996,0.00152261,0.14590452,0.84249214,0.85365768,0.14634232,0.06544175,0.04024895,0.00076156,0.00761561,0.02883429,228478,-0.69658762,-0.6908787,0.00570892,-0.69778167,White,500736
AL,14,AL-14,295285,-0.00088311,0.19486558,0.79051672,0.81899296,0.18100704,0.05036964,0.07416611,0.00122917,0.01078402,0.04792013,226168,-0.59565114,-0.60634593,-0.01069479,-0.60778100,White,376757
AL,15,AL-15,295103,-0.00149892,0.15888563,0.82884176,0.84011857,0.15988143,0.06345823,0.05715469,0.00086314,0.00730617,0.03075917,229395,-0.66995613,-0.69985939,-0.02990326,-0.69489164,White,266564
AL,16,AL-16,295349,-0.00066656,0.28269967,0.70211809,0.77164473,0.22835527,0.1394129,0.0396514,0.00111475,0.01341589,0.03470848,231442,-0.41941842,-0.47251673,-0.05309831,-0.45981729,White,431000
AL,17,AL-17,294954,-0.00200307,0.51037551,0.46439032,0.58370676,0.41629324,0.29240707,0.05983346,0.00265688,0.04056142,0.02740149,232980,0.04598519,0.03685984,-0.00912535,0.03490162,White,3577971
AR,1,AR-1,300803,-0.00116021,0.61318754,0.35679557,0.39598847,0.60401153,0.52408416,0.05768664,0.00115775,0.01012496,0.01841717,234075,0.25639197,0.2227867,-0.03360527,0.22898846,Black,181513
AR,2,AR-2,301792,0.00212384,0.55432049,0.42018696,0.58833097,0.41166903,0.29806886,0.05284535,0.00124548,0.03636729,0.02619798,233644,0.13413353,0.1403071,0.00617357,0.13324924,White,2425426
AR,3,AR-3,301320,0.00055653,0.26648137,0.7041921,0.80809955,0.19190045,0.09771639,0.03976167,0.00131973,0.01466508,0.03369005,229593,-0.43771073,-0.46041647,-0.02270574,-0.45784789,White,276925
AR,4,AR-4,301975,0.00273151,0.26717903,0.7040151,0.78539144,0.21460856,0.13905035,0.0340191,0.00299141,0.01077781,0.02433305,228989,-0.43683607,-0.47169735,-0.03486128,-0.46507692,White,185110
AR,5,AR-5,301961,0.00268502,0.20830099,0.76431537,0.88443779,0.11556221,0.02311244,0.03830743,0.00106654,0.00853646,0.03906446,239092,-0.55601438,-0.58560815,-0.02959377,-0.58074356,White,133187
AR,6,AR-6,301035,-0.00038984,0.50230351,0.46431424,0.6370142,0.3629858,0.04186675,0.20068053,0.0264971,0.05538404,0.04436765,225119,0.03798927,0.02022635,-0.01776292,0.02114732,White,5294996
AR,7,AR-7,302027,0.00290418,0.28538641,0.6867348,0.81229107,0.18770893,0.0135993,0.08273931,0.00595846,0.02363667,0.059532,228247,-0.40134839,-0.40302648,-0.00167809,-0.40746712,White,316268
AR,8,AR-8,300341,-0.00269432,0.24408123,0.72848254,0.77120403,0.22879597,0.03914186,0.09362084,0.00214098,0.03352014,0.05972855,228400,-0.48440131,-0.50604587,-0.02164456,-0.50383102,White,195373
AR,9,AR-9,300161,-0.00329202,0.29323285,0.68212216,0.79944136,0.20055864,0.10198128,0.04823162,0.00125138,0.01222767,0.03394536,234141,-0.38888931,-0.40245467,-0.01356536,-0.40293288,White,295774
AR,10,AR-10,300109,-0.00346469,0.28203297,0.6878462,0.66954579,0.33045421,0.23557732,0.05773835,0.00164954,0.00698783,0.02886485,230973,-0.40581323,-0.46173888,-0.05592565,-0.44809700,White,92107
AZ,1,AZ-1,286561,0.0017511,0.58469658,0.39954823,0.40467108,0.59532892,0.0141998,0.09370012,0.00287708,0.01478914,0.47792534,215496,0.18514835,0.09346809,-0.09168026,0.11902818,Native,29097
AZ,2,AZ-2,285913,-0.00051416,0.36834998,0.61615346,0.79425033,0.20574967,0.01274937,0.12249277,0.003316,0.02151457,0.04402933,240953,-0.24780348,-0.29432592,-0.04652244,-0.28381844,White,78014
