CD,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Margin_20,Swing,Lean,Majority,State,Density
AK-AL,733391,0.41406128,0.54544809,0.61476201,0.38523799,0.04271638,0.06036249,0.02018762,0.07835156,0.19085998,554003,-0.13138681,-0.10116369,-0.03022312,-0.12631244,White,AK,2558
AL-1,557444,0.20066321,0.78892449,0.78300133,0.21699867,0.1254368,0.03834632,0.00131185,0.01786015,0.03199492,432975,-0.58826128,-0.55234788,-0.0359134,-0.58129015,White,AL,356542
AL-2,558834,0.51987993,0.46811718,0.47008927,0.52991073,0.4665928,0.02957924,0.00112841,0.01584764,0.02019553,440444,0.05176275,0.11150017,-0.05973742,0.06667522,Minority,AL,204836
AL-3,558678,0.31458906,0.67356909,0.65659406,0.34340594,0.26512942,0.03371537,0.00147421,0.02483139,0.02028117,438880,-0.35898003,-0.29189192,-0.06708811,-0.34161733,White,AL,393629
AL-4,557320,0.15769744,0.83255464,0.83343614,0.16656386,0.07434575,0.05015766,0.00086082,0.00686353,0.03325891,434470,-0.6748572,-0.63543813,-0.03941907,-0.66671751,White,AL,295642
AL-5,559028,0.39055716,0.58935728,0.67998154,0.32001846,0.21022442,0.05040708,0.00206736,0.0302543,0.03010581,437756,-0.19880012,-0.1786911,-0.02010902,-0.19709711,White,AL,1221115
AL-6,558172,0.24657189,0.73997846,0.76135024,0.23864976,0.14908696,0.04733557,0.00108981,0.0179457,0.02290235,428515,-0.49340657,-0.47624242,-0.01716415,-0.49268519,White,AL,429059
AL-7,558772,0.62673031,0.35308156,0.43986114,0.56013886,0.47564857,0.04668224,0.00107781,0.02574617,0.01494518,436997,0.27364875,0.3033713,-0.02972255,0.27855627,Black,AL,4349349
AL-8,558773,0.49987316,0.48852314,0.45682444,0.54317556,0.47381192,0.03308824,0.00137018,0.0235199,0.01599307,436439,0.01135002,0.06625612,-0.0549061,0.02465205,Black,AL,260288
AL-9,557258,0.17562682,0.81469543,0.81891151,0.18108849,0.0820358,0.05443591,0.00084283,0.00897629,0.0360143,430690,-0.63906861,-0.62447556,-0.01459305,-0.63920426,White,AL,444768
AR-1,601619,0.25693202,0.72163562,0.79745734,0.20254266,0.1181364,0.03685655,0.00215569,0.01265646,0.02866013,457395,-0.4647036,-0.43690584,-0.02779776,-0.46043768,White,AR,217209
AR-2,603223,0.57558734,0.40122905,0.4925492,0.5074508,0.41078476,0.05513462,0.00120229,0.02321087,0.02235239,468272,0.17435829,0.18730651,-0.01294822,0.17367436,Minority,AR,340128
AR-3,602221,0.37679491,0.59496449,0.71058335,0.28941665,0.03204232,0.14703771,0.01577,0.04189996,0.05518721,449905,-0.21816958,-0.20257045,-0.01559913,-0.21796987,White,AR,946464
AR-4,603008,0.2747509,0.7064522,0.7355682,0.2644318,0.16762979,0.05290948,0.00144682,0.00959695,0.03153894,467232,-0.4317013,-0.39884425,-0.03285705,-0.42574895,White,AR,139540
AR-5,601453,0.21604593,0.76361235,0.84136759,0.15863241,0.02714982,0.06060464,0.00207255,0.01862956,0.04637367,469469,-0.54756642,-0.52090278,-0.02666364,-0.54367854,White,AR,147075
AZ-1,596446,0.4867074,0.50263462,0.48195924,0.51804076,0.03851013,0.19257034,0.00529222,0.02164761,0.27297449,457464,-0.01592722,0.06504881,-0.08097603,0.00606479,Minority,AZ,45664
AZ-2,595436,0.47543501,0.51357216,0.68444513,0.31555487,0.03698547,0.20934953,0.00395854,0.04364244,0.02908937,476944,-0.03813715,-0.02952968,-0.00860747,-0.04026799,White,AZ,215421
AZ-3,596877,0.530018,0.46015927,0.31161757,0.68838243,0.07253061,0.55160261,0.00497211,0.02832653,0.05373902,427585,0.06985873,0.18457204,-0.11471331,0.1030965,Hispanic,AZ,173518
